atc_name,concept_class_id,concept_code,name
OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,ATC 2nd,M09,1000589_autologous_cultured_chondrocytes
Other drugs for disorders of the musculo-skeletal system,ATC 4th,M09AX,1000589_autologous_cultured_chondrocytes
"chondrocytes, autologous; parenteral, implant",ATC 5th,M09AX02,1000589_autologous_cultured_chondrocytes
MUSCULO-SKELETAL SYSTEM,ATC 1st,M,1000589_autologous_cultured_chondrocytes
OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,ATC 3rd,M09A,1000589_autologous_cultured_chondrocytes
ANTITHROMBOTIC AGENTS,ATC 2nd,B01,1009_antithrombin_iii
BLOOD AND BLOOD FORMING ORGANS,ATC 1st,B,1009_antithrombin_iii
ANTITHROMBOTIC AGENTS,ATC 3rd,B01A,1009_antithrombin_iii
Heparin group,ATC 4th,B01AB,1009_antithrombin_iii
antithrombin III; parenteral,ATC 5th,B01AB02,1009_antithrombin_iii
IMMUNOSUPPRESSANTS,ATC 2nd,L04,1012892_fingolimod
Selective immunosuppressants,ATC 4th,L04AA,1012892_fingolimod
IMMUNOSUPPRESSANTS,ATC 3rd,L04A,1012892_fingolimod
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,1012892_fingolimod
fingolimod; oral,ATC 5th,L04AE01,1012892_fingolimod
Sphingosine-1-phosphate (S1P) receptor modulators,ATC 4th,L04AE,1012892_fingolimod
[U] fingolimod,ATC 5th,L04AA27,1012892_fingolimod
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,10432_thalidomide
IMMUNOSUPPRESSANTS,ATC 2nd,L04,10432_thalidomide
thalidomide; oral,ATC 5th,L04AX02,10432_thalidomide
Other immunosuppressants,ATC 4th,L04AX,10432_thalidomide
IMMUNOSUPPRESSANTS,ATC 3rd,L04A,10432_thalidomide
eribulin; parenteral,ATC 5th,L01XX41,1045453_eribulin
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,1045453_eribulin
OTHER ANTINEOPLASTIC AGENTS,ATC 3rd,L01X,1045453_eribulin
ANTINEOPLASTIC AGENTS,ATC 2nd,L01,1045453_eribulin
Other antineoplastic agents,ATC 4th,L01XX,1045453_eribulin
SENSORY ORGANS,ATC 1st,S,105694_epoetin_alfa
