atc_name,concept_class_id,concept_code,name
abacavir; oral,ATC 5th,J05AF06,abacavir
ANTIINFECTIVES FOR SYSTEMIC USE,ATC 1st,J,abacavir
ANTIVIRALS FOR SYSTEMIC USE,ATC 2nd,J05,abacavir
"Antivirals for treatment of HIV infections, combinations",ATC 4th,J05AR,abacavir
DIRECT ACTING ANTIVIRALS,ATC 3rd,J05A,abacavir
lamivudine and abacavir; oral,ATC 5th,J05AR02,abacavir
"lamivudine, abacavir and dolutegravir; systemic",ATC 5th,J05AR13,abacavir
Nucleoside and nucleotide reverse transcriptase inhibitors,ATC 4th,J05AF,abacavir
"zidovudine, lamivudine and abacavir; systemic",ATC 5th,J05AR04,abacavir
abaloparatide; parenteral,ATC 5th,H05AA04,abaloparatide
CALCIUM HOMEOSTASIS,ATC 2nd,H05,abaloparatide
PARATHYROID HORMONES AND ANALOGUES,ATC 3rd,H05A,abaloparatide
Parathyroid hormones and analogues,ATC 4th,H05AA,abaloparatide
"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",ATC 1st,H,abaloparatide
abatacept; parenteral,ATC 5th,L04AA24,abatacept
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,abatacept
IMMUNOSUPPRESSANTS,ATC 2nd,L04,abatacept
IMMUNOSUPPRESSANTS,ATC 3rd,L04A,abatacept
Selective immunosuppressants,ATC 4th,L04AA,abatacept
abemaciclib; oral,ATC 5th,L01EF03,abemaciclib
ANTINEOPLASTIC AGENTS,ATC 2nd,L01,abemaciclib
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,abemaciclib
Cyclin-dependent kinase (CDK) inhibitors,ATC 4th,L01EF,abemaciclib
PROTEIN KINASE INHIBITORS,ATC 3rd,L01E,abemaciclib
abiraterone and corticosteroids; oral,ATC 5th,L02BX53,abiraterone
abiraterone; oral,ATC 5th,L02BX03,abiraterone
ANTINEOPLASTIC AGENTS,ATC 2nd,L01,abiraterone
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,abiraterone
ENDOCRINE THERAPY,ATC 2nd,L02,abiraterone
HORMONE ANTAGONISTS AND RELATED AGENTS,ATC 3rd,L02B,abiraterone
niraparib and abiraterone; oral,ATC 5th,L01XK52,abiraterone
OTHER ANTINEOPLASTIC AGENTS,ATC 3rd,L01X,abiraterone
Other hormone antagonists and related agents,ATC 4th,L02BX,abiraterone
Poly (ADP-ribose) polymerase (PARP) inhibitors,ATC 4th,L01XK,abiraterone
abrocitinib; oral,ATC 5th,D11AH08,abrocitinib
"Agents for dermatitis, excluding corticosteroids",ATC 4th,D11AH,abrocitinib
DERMATOLOGICALS,ATC 1st,D,abrocitinib
OTHER DERMATOLOGICAL PREPARATIONS,ATC 2nd,D11,abrocitinib
OTHER DERMATOLOGICAL PREPARATIONS,ATC 3rd,D11A,abrocitinib
acalabrutinib; oral,ATC 5th,L01EL02,acalabrutinib
ANTINEOPLASTIC AGENTS,ATC 2nd,L01,acalabrutinib
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,acalabrutinib
Bruton's tyrosine kinase (BTK) inhibitors,ATC 4th,L01EL,acalabrutinib
PROTEIN KINASE INHIBITORS,ATC 3rd,L01E,acalabrutinib
adalimumab; parenteral,ATC 5th,L04AB04,adalimumab
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,adalimumab
IMMUNOSUPPRESSANTS,ATC 2nd,L04,adalimumab
IMMUNOSUPPRESSANTS,ATC 3rd,L04A,adalimumab
Tumor necrosis factor alpha (TNF-a) inhibitors,ATC 4th,L04AB,adalimumab
aducanumab; systemic,ATC 5th,N06DX03,aducanumab
ANTI-DEMENTIA DRUGS,ATC 3rd,N06D,aducanumab
NERVOUS SYSTEM,ATC 1st,N,aducanumab
Other anti-dementia drugs,ATC 4th,N06DX,aducanumab
PSYCHOANALEPTICS,ATC 2nd,N06,aducanumab
"afamelanotide; implant, nasal, parenteral",ATC 5th,D02BB02,afamelanotide
DERMATOLOGICALS,ATC 1st,D,afamelanotide
EMOLLIENTS AND PROTECTIVES,ATC 2nd,D02,afamelanotide
PROTECTIVES AGAINST UV-RADIATION,ATC 3rd,D02B,afamelanotide
Protectives against UV-radiation for systemic use,ATC 4th,D02BB,afamelanotide
afatinib; oral,ATC 5th,L01EB03,afatinib
ANTINEOPLASTIC AGENTS,ATC 2nd,L01,afatinib
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,afatinib
Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors,ATC 4th,L01EB,afatinib
PROTEIN KINASE INHIBITORS,ATC 3rd,L01E,afatinib
aflibercept; ophthalmic,ATC 5th,S01LA05,aflibercept
aflibercept; parenteral,ATC 5th,L01XX44,aflibercept
ANTINEOPLASTIC AGENTS,ATC 2nd,L01,aflibercept
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,aflibercept
Antineovascularisation agents,ATC 4th,S01LA,aflibercept
OCULAR VASCULAR DISORDER AGENTS,ATC 3rd,S01L,aflibercept
OPHTHALMOLOGICALS,ATC 2nd,S01,aflibercept
OTHER ANTINEOPLASTIC AGENTS,ATC 3rd,L01X,aflibercept
Other antineoplastic agents,ATC 4th,L01XX,aflibercept
SENSORY ORGANS,ATC 1st,S,aflibercept
agalsidase beta; parenteral,ATC 5th,A16AB04,agalsidase_beta
ALIMENTARY TRACT AND METABOLISM,ATC 1st,A,agalsidase_beta
Enzymes,ATC 4th,A16AB,agalsidase_beta
OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,ATC 2nd,A16,agalsidase_beta
OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,ATC 3rd,A16A,agalsidase_beta
aldesleukin; parenteral,ATC 5th,L03AC01,aldesleukin
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,aldesleukin
IMMUNOSTIMULANTS,ATC 2nd,L03,aldesleukin
IMMUNOSTIMULANTS,ATC 3rd,L03A,aldesleukin
Interleukins,ATC 4th,L03AC,aldesleukin
alectinib; oral,ATC 5th,L01ED03,alectinib
Anaplastic lymphoma kinase (ALK) inhibitors,ATC 4th,L01ED,alectinib
ANTINEOPLASTIC AGENTS,ATC 2nd,L01,alectinib
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,alectinib
PROTEIN KINASE INHIBITORS,ATC 3rd,L01E,alectinib
[U] alemtuzumab; parenteral,ATC 5th,L04AA34,alemtuzumab
alemtuzumab; parenteral,ATC 5th,L04AG06,alemtuzumab
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,alemtuzumab
IMMUNOSUPPRESSANTS,ATC 2nd,L04,alemtuzumab
IMMUNOSUPPRESSANTS,ATC 3rd,L04A,alemtuzumab
Monoclonal antibodies,ATC 4th,L04AG,alemtuzumab
Selective immunosuppressants,ATC 4th,L04AA,alemtuzumab
alglucosidase alfa; parenteral,ATC 5th,A16AB07,alglucosidase_alfa
ALIMENTARY TRACT AND METABOLISM,ATC 1st,A,alglucosidase_alfa
Enzymes,ATC 4th,A16AB,alglucosidase_alfa
OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,ATC 2nd,A16,alglucosidase_alfa
OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,ATC 3rd,A16A,alglucosidase_alfa
alirocumab; parenteral,ATC 5th,C10AX14,alirocumab
CARDIOVASCULAR SYSTEM,ATC 1st,C,alirocumab
LIPID MODIFYING AGENTS,ATC 2nd,C10,alirocumab
"LIPID MODIFYING AGENTS, PLAIN",ATC 3rd,C10A,alirocumab
Other lipid modifying agents,ATC 4th,C10AX,alirocumab
"Agents for dermatitis, excluding corticosteroids",ATC 4th,D11AH,alitretinoin
alitretinoin; oral,ATC 5th,D11AH04,alitretinoin
"alitretinoin; oral, topical",ATC 5th,L01XF02,alitretinoin
ANTINEOPLASTIC AGENTS,ATC 2nd,L01,alitretinoin
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,alitretinoin
DERMATOLOGICALS,ATC 1st,D,alitretinoin
OTHER ANTINEOPLASTIC AGENTS,ATC 3rd,L01X,alitretinoin
OTHER DERMATOLOGICAL PREPARATIONS,ATC 2nd,D11,alitretinoin
OTHER DERMATOLOGICAL PREPARATIONS,ATC 3rd,D11A,alitretinoin
Retinoids for cancer treatment,ATC 4th,L01XF,alitretinoin
alpelisib; oral,ATC 5th,L01EM03,alpelisib
ANTINEOPLASTIC AGENTS,ATC 2nd,L01,alpelisib
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,alpelisib
Phosphatidylinositol-3-kinase (Pi3K) inhibitors,ATC 4th,L01EM,alpelisib
PROTEIN KINASE INHIBITORS,ATC 3rd,L01E,alpelisib
alfa1 antitrypsin; parenteral,ATC 5th,B02AB02,alpha_1_antitrypsin
ANTIFIBRINOLYTICS,ATC 3rd,B02A,alpha_1_antitrypsin
ANTIHEMORRHAGICS,ATC 2nd,B02,alpha_1_antitrypsin
BLOOD AND BLOOD FORMING ORGANS,ATC 1st,B,alpha_1_antitrypsin
Proteinase inhibitors,ATC 4th,B02AB,alpha_1_antitrypsin
ANTINEOPLASTIC AGENTS,ATC 2nd,L01,alunacedase_alfa
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,L,alunacedase_alfa
ambrisentan and tadalafil; oral,ATC 5th,C02KX52,ambrisentan
ambrisentan; oral,ATC 5th,C02KX02,ambrisentan
ANTIHYPERTENSIVES,ATC 2nd,C02,ambrisentan
Antihypertensives for pulmonary arterial hypertension,ATC 4th,C02KX,ambrisentan
CARDIOVASCULAR SYSTEM,ATC 1st,C,ambrisentan
OTHER ANTIHYPERTENSIVES,ATC 3rd,C02K,ambrisentan
amifampridine; oral,ATC 5th,N07XX05,amifampridine
NERVOUS SYSTEM,ATC 1st,N,amifampridine
OTHER NERVOUS SYSTEM DRUGS,ATC 2nd,N07,amifampridine
OTHER NERVOUS SYSTEM DRUGS,ATC 3rd,N07X,amifampridine
Other nervous system drugs,ATC 4th,N07XX,amifampridine
amikacin; ophthalmic,ATC 5th,S01AA21,amikacin
amikacin; parenteral,ATC 5th,J01GB06,amikacin
amikacin; topical,ATC 5th,D06AX12,amikacin
AMINOGLYCOSIDE ANTIBACTERIALS,ATC 3rd,J01G,amikacin
ANTIBACTERIALS FOR SYSTEMIC USE,ATC 2nd,J01,amikacin
Antibiotics,ATC 4th,S01AA,amikacin
ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,ATC 2nd,D06,amikacin
ANTIBIOTICS FOR TOPICAL USE,ATC 3rd,D06A,amikacin
antibiotics in combination with other drugs; ophthalmic,ATC 5th,S01AA20,amikacin
ANTIINFECTIVES,ATC 3rd,S01A,amikacin
ANTIINFECTIVES,ATC 3rd,S02A,amikacin
